"id. Response ID";"submitdate. Date submitted";"lastpage. Last page";"startlanguage. Start language";"seed. Seed";"ProlificID. Please enter your Prolific ID";"audio. Please listen to the following audio snippet and type in what you heard.   Your browser does not support the audio element. ";"q0r49[SQ001]. Please position your head to fit within the square on the camera image (top left).&gt; If the square is green, click on 'Next.'(&gt; If the Next button doesn't work right away, click a few times on any spot on the screen when the square is green.)Ensure you are in an undisturbed and well-lit room while answering the following questionnaire.Maximize your browser window.    []";"G02Q38[SQ001]. To calibrate the eye tracker, click on ALL red squares.  IMPORTANT: Move the mouse to the square, LOOK AT THE SQUARE SO THAT THE RED DOT IS NEAR THE SQUARE.Click on the square and a new square appears.The box below will be automatically checked if all was done...  Progress: 0/45       [DONE]";"G03Q39[SQ001].   Please first click and then look at the red dot in the middle of the screen for 10 seconds.  This is to ensure that the eye-tracker is correctly working... After that, the Next button will appear.     [Done]";"videoinfo. Feedback visualizations are displayed during this journey.  Please click ""Yes"" if you understand. ";"DNC. As soon as Start Video is being pressed, the video will be played in fullscreen mode. DO NOT pause the video or leave fullscreen mode. Finish watching the video before doing anything else.    Start VideoRe-enter Fullscreen  ";"correctDNC. Was the video displayed correctly?";"spacer.    ";"TLX1[TLXme]. How much mental demand was involved in receiving and processing information (e.g., thinking, deciding, calculating, remembering, looking, searching ...)? Was the task easy or challenging, simple or complex, does it require high accuracy or is it error tolerant?  []";"perceivedSafety[SQ001]. How would you estimate your current emotional state?  [Anxious | Relaxed]";"perceivedSafety[SQ002]. How would you estimate your current emotional state?  [Agitated | Calm]";"perceivedSafety[SQ003]. How would you estimate your current emotional state?  [Unsafe | Safe]";"perceivedSafety[SQ004]. How would you estimate your current emotional state?  [Timid | Confident]";"Trust[SQ002]. Evaluate the following statements:  [I trust the highly automated vehicle.]";"Trust[SQ001]. Evaluate the following statements:  [I can rely on the highly automated vehicle.]";"Trust[SQ003]. Evaluate the following statements:  [The automated vehicle state was always clear to me.]";"Trust[SQ004]. Evaluate the following statements:  [The automated vehicle reacts unpredictably.]";"Trust[SQ005]. Evaluate the following statements:  [I was able to understand why things happened.]";"Trust[SQ006]. Evaluate the following statements:  [it's difficult to identify what the automated vehicle will do next.]";"vanDerAccept[useful]. Please rate the following regarding your judgment of the system. [Useful | Useless ]";"vanDerAccept[pleas]. Please rate the following regarding your judgment of the system. [Pleasant | Unpleasant]";"vanDerAccept[bad]. Please rate the following regarding your judgment of the system. [Bad | Good]";"vanDerAccept[nice]. Please rate the following regarding your judgment of the system. [Nice | Annoying]";"vanDerAccept[effe]. Please rate the following regarding your judgment of the system. [Effective | Superfluous]";"vanDerAccept[irri]. Please rate the following regarding your judgment of the system. [Irritating | Likeable]";"vanDerAccept[assis]. Please rate the following regarding your judgment of the system. [Assisting | Worthless]";"vanDerAccept[undes]. Please rate the following regarding your judgment of the system. [Undesirable | Desirable]";"vanDerAccept[rais]. Please rate the following regarding your judgment of the system. [Raising Alertness | Sleep-Inducing]";"CSUS[freq]. Please answer the following questions [I think that I would like to use these visualizations frequently.]";"CSUS[complex]. Please answer the following questions [I found the visualizations unnecessarily complex.]";"distraction5[SQ001]. Please select the fifth option. []";"perception[p1b]. Please indicate your agreement with following statements. [The automated vehicle recognizes all pedestrians in every situation perfectly.]";"perception[p2b]. Please indicate your agreement with following statements. [The automated vehicle recognizes all vehicles in every situation perfectly.]";"perception[p3b]. Please indicate your agreement with following statements. [The automated vehicle recognizes all signposts in every situation perfectly.]";"perception[pintention]. Please indicate your agreement with following statements. [The automated vehicle predicts all pedestrian intentions in every scene perfectly.]";"perception[p4b]. Please indicate your agreement with following statements. [The automated vehicle has perfect longitudinal guidance (braking, acceleration, ...).]";"perception[p5b]. Please indicate your agreement with following statements. [The automated vehicle has perfect lateral guidance (keeping track, staying on the road).]";"perception[unsafeJudgement]. Please indicate your agreement with following statements. [The automated vehicle made an unsafe judgement in this situation.]";"perception[reactapprop]. Please indicate your agreement with following statements. [The automated vehicle reacted appropriately to the environment.]";"perception[performbetter]. Please indicate your agreement with following statements. [I would have performed better than the automated vehicle in this situation.]";"perception[willdo]. Please indicate your agreement with following statements. [It was always clear what the automated vehicle will do next.]";"TUI[SQ001]. Please rate the following statements. [In the virtual situation I could forget my real problems.]";"TUI[SQ002]. Please rate the following statements. [When I use the virtual simulation, I feel like I'm in another world.]";"TUI[SQ003]. Please rate the following statements. [During the virtual simulation I completely forgot the world around me.]";"TUI[SQ004]. Please rate the following statements. [Through the virtual simulation I had the feeling of really experiencing the situation.]";"SART11[SART1]. Instability of Situation   How changeable is the situation? Is the situation highly unstable and likely to change suddenly (High) or is it very stable and straightforward (Low)?  []";"SART21[SART2]. Complexity of Situation   How complicated is the situation? Is it complex with many interrelated components (High) or is it simple and straightforward (Low)?  []";"SART31[SART3]. Variability of Situation   How many variables are changing within the situation? Are there a large number of factors varying (High) or are there very few variables changing (Low)?  []";"SART41[SART4]. Arousal   How aroused are you in the situation? Are you alert and ready for activity (High) or do you have a low degree of alertness (Low)?  []";"SART51[SART5]. Concentration of Attention   How much are you concentrating on the situation? Are you concentrating on many aspects of the situation (High) or focussed on only one (Low)?  []";"distractor1[SART5]. Examination of Attention  Please select the first option.  []";"SART61[SART6]. Division of Attention   How much is your attention divided in the situation? Are you concentrating on many aspects of the situation (High) or focussed on only one (Low)?  []";"SART71[SART7]. Spare Mental Capacity   How much mental capacity do you have to spare in the situation? Do you have sufficient to attend to many variables (High) or nothing to spare at all (Low)?  []";"SART81[SART8]. Information Quantity   How much information have you gained about the situation? Have you received and understood a great deal of knowledge (High) or very little (Low)?  []";"SART91[SART9]. Information Quality  How good/accurate/of value was the information provided? Was it accessible, usable, and accurate (High) or difficult to obtain and inaccurate (Low)?  []";"SART101[SART10]. Familiarity with Situation   How familiar are you with the situation? Do you have a great deal of relevant experience (High) or is it a new situation (Low)?  []";"drivingstyle[SART1]. Driving Style  How would you rate the driving style of the automated vehicle?  []";"ownq[expected]. Please answer the questions. [The automated vehicle drove as I expected at all times.]";"ownq[clearReason]. Please answer the questions. [The reasons for the automated vehicle's behavior were clear to me at all times.]";"ownq[reason]. Please answer the questions. [I think the visualizations provided were reasonable.]";"ownq[necc]. Please answer the questions. [I think the visualizations provided were necessary.]";"ownq[clutter]. Please answer the questions. [I think there were too many visualizations provided.]";"ownq[moreper]. Please answer the questions. [I would have liked more information regarding the automated vehicle's perception (what did the automated vehicle ""see"").]";"ownq[morepre]. Please answer the questions. [I would have liked more information regarding the automated vehicle's predictions (how does the automated vehicle think the future will be).]";"ownq[moreego]. Please answer the questions. [I would have liked more information regarding the automated vehicle's future path (where will the automated vehicle drive to).]";"distractorFinal[AC01X]. Please indicate your agreement with the statement below:  [Please select ""Strongly Agree"" in order to show that you are paying attention to this question.]";"rankVisualizationsX[1]. Please sort the different visualisations according to your preferences. [Rank 1]";"rankVisualizationsX[2]. Please sort the different visualisations according to your preferences. [Rank 2]";"rankVisualizationsX[3]. Please sort the different visualisations according to your preferences. [Rank 3]";"rankVisualizationsX[4]. Please sort the different visualisations according to your preferences. [Rank 4]";"ImprovementVis. Regarding the autonomous vehicle that you have been driving virtually for the last few days:  Is there a way(s) to further improve your sense of safety in this vehicle? If so, please describe these option(s) here. ";"opinion. What did you find particularly good / particularly bad about the visualizations? What would you change?";"behaviorOpen. How do you think autonomous vehicles will change people's behavior?";"concerns[safety]. Please indicate to what extent you agree with the following statements. [I would feel safe living in a region where many autonomous vehicles are in use.]";"concerns[infra]. Please indicate to what extent you agree with the following statements. [I am concerned about the impact of the infrastructure of autonomous vehicles (e.g. charging stations) on the cityscape.]";"concerns[impact]. Please indicate to what extent you agree with the following statements. [I believe that autonomous vehicles will significantly change human behaviour.]";"assum[det].  [I believe current automated vehicles can perfectly detect all driving-relevant objects]";"assum[pred].  [I believe current automated vehicles can perfectly predict where all driving-relevant objects will be in the near future]";"assum[man].  [I believe current automated vehicles can perfectly plan and execute their own behavior]";"feedback. Here, you can give open feedback regarding concerns, improvement proposals, and other thoughts."
"1";"1980-01-01 00:00:00";"9";"en";"939740053";"590d0c9c1211f9000142af16";"132";"Y";"Y";"Y";"Y";"";"Y";"";"10";"0";"0";"0";"0";"3";"3";"3";"2";"3";"2";"1";"1";"neg1";"1";"1";"neg1";"1";"neg1";"1";"3";"2";"5";"5";"5";"5";"5";"5";"5";"2";"5";"4";"4";"5";"3";"3";"5";"4";"4";"5";"4";"4";"1";"4";"4";"5";"4";"4";"3";"5";"5";"5";"5";"2";"2";"2";"2";"5";"PedIn";"PedDe";"VehDe";"SigDe";"See more driving where the pedestrian crosses without a crosswalk and the vehicle has to react";"I loved the morning and evening drives, maybe make the coloring of objects, pedestrians more visible";"They will feel safer and less drunk driving accidents or accidents in general";"5";"2";"5";"7";"5";"5";"this was interesting "
"2";"1980-01-01 00:00:00";"9";"en";"440096130";"565f2425e14ebc000cc5fab7";"132";"Y";"Y";"Y";"Y";"";"Y";"";"15";"1neg";"2neg";"1";"0";"2";"2";"3";"2";"5";"1";"neg1";"neg1";"0";"neg1";"neg1";"1";"1";"0";"neg1";"2";"1";"5";"1";"7";"5";"1";"6";"6";"2";"7";"3";"5";"1";"1";"1";"3";"6";"7";"7";"3";"5";"1";"4";"3";"5";"4";"5";"3";"6";"6";"2";"5";"2";"5";"6";"6";"5";"VehDe";"SigDe";"PedDe";"PedIn";"Make the pedestrian detection feature more accurate. Right now, the pedestrian detection feature is useless. In 98% of cases it inaccurately labeled pedestrian intentions. I had to look at the scene and evaluate for myself what the pedestrians were doing and what I thought they were going to do. I could not rely on the autonomous car's assessment. ";"The bad thing that stands out to me is the aforementioned pedestrian intention accuracy. I was particularly impressed with how the car handled turns where the lane was not marked in the middle of the intersection, and how it handled narrow streets with oncoming traffic. In those instances the car was able to stay in the correct lane with enough room for oncoming traffic. I would like to see where the car is intending to go, perhaps with a dotted line extended into the street in front of me. That way, I can tell if the car's assessment of the scenario is safe or not.";"I think more people will zone out while driving. I think people who are unable to drive due to seizures or other factors will be able to rely on a car more often. I am worried that it will negatively affect pedestrian behavior as pedestrians try to anticipate what the car is going to do.";"3";"4";"5";"1";"1";"8";"In terms of this survey: There were some problems with the survey. One of the questions, the scale was labeled in German and I had to use Google translate to find out what it meant. Additionally, it would have been helpful to see a reminder of what the different color highlights meant in the car video. That information only showed the very first time I did this survey. In the 5 subsequent occasions, I had to rely on my memory for what each color meant. This was particularly tricky when it came to pedestrians, since the color of the icon above their heads changed a lot."
"3";"1980-01-01 00:00:00";"9";"en";"642252105";"65e33239b5fa3ca93950aa67";"132";"Y";"Y";"Y";"Y";"";"Y";"";"14";"3";"3";"3";"3";"5";"5";"5";"1";"5";"1";"2";"2";"neg2";"2";"2";"neg2";"2";"neg2";"2";"5";"1";"5";"7";"7";"7";"7";"7";"7";"1";"7";"4";"7";"7";"7";"7";"7";"2";"2";"2";"6";"6";"1";"6";"6";"6";"6";"6";"1";"7";"7";"7";"7";"1";"1";"1";"1";"5";"VehDe";"SigDe";"PedIn";"PedDe";"No, I think everything went well. Thank you.";"I loved that the visuals were detailed. However, the coloring seemed a bit off, blurry almost. I would improve the visuals so they are a bit clearer. ";"Many people that were first reluctant to try them like myself would now be more inclined and trusting in these vehicles. ";"6";"1";"6";"9";"9";"9";""
"4";"1980-01-01 00:00:00";"9";"en";"2135508825";"66436191125fd343899c47b6";"132";"Y";"Y";"Y";"Y";"";"Y";"";"20";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"5";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"1";"1";"1";"7";"5";"5";"1";"1";"5";"1";"7";"7";"7";"7";"7";"2";"6";"6";"6";"6";"7";"6";"6";"6";"5";"VehDe";"PedDe";"PedIn";"SigDe";"No";"I just didn't like the color of what represented what. There should be 4 colors and always a reminder of what the colors represent";"I feel like it will make a people lazy and just rely on the smart car and not on their senses and common sense";"4";"4";"4";"1";"1";"1";"no"
"5";"1980-01-01 00:00:00";"9";"en";"817811017";"616ca5967d36f0000bd47b78";"132";"Y";"Y";"Y";"Y";"";"Y";"";"15";"2neg";"2neg";"2";"1neg";"4";"4";"4";"2";"4";"2";"1";"1";"neg1";"1";"1";"neg1";"1";"neg1";"1";"4";"2";"5";"5";"5";"5";"5";"5";"5";"2";"5";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"6";"5";"5";"5";"5";"2";"2";"2";"2";"5";"PedDe";"PedIn";"VehDe";"SigDe";"N/A";"I like how they're color coded";"pronbably";"4";"4";"4";"6";"6";"6";"N/A"
"6";"1980-01-01 00:00:00";"9";"en";"525842586";"5ff39ec71d6cb49c6c906727";"132";"Y";"Y";"Y";"Y";"";"Y";"";"13";"1neg";"0";"0";"0";"3";"2";"3";"3";"3";"4";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"3";"5";"2";"3";"4";"2";"4";"4";"4";"4";"4";"3";"5";"5";"5";"5";"5";"5";"5";"4";"5";"1";"5";"3";"5";"4";"4";"4";"4";"4";"4";"5";"4";"4";"6";"6";"5";"SigDe";"VehDe";"PedIn";"PedDe";"I would love to see what the vehicle would do next. It was not as pleasant to deal with the uncertainty during the drive. I believe the vehicle gets too close to other vehicles when it breaks. ";"The perception of the people's intents was all over the place. The indications indicating the presence of a person was also very complicated. A statue was indicated as a person, a mountain, pieces of buildings. It makes the experience not as smooth as it should.";"I believe people will tend to be more relaxed inside their vehicles, creating time for them to be productive or just enjoy the drive. ";"4";"5";"5";"3";"4";"4";"I truly loved the experience. I enjoyed the city, its buildings. My main concern was the pedestrians. I feel that the system failed multiple times, and the situations could have been a bit dangerous"
"7";"1980-01-01 00:00:00";"9";"en";"922273092";"667cb31fb40cdd26ad0dde4f";"132";"Y";"Y";"Y";"Y";"";"Y";"";"16";"0";"1neg";"1";"2";"4";"4";"5";"1";"4";"3";"1";"1";"neg1";"1";"1";"neg1";"1";"neg2";"neg2";"4";"3";"5";"5";"6";"6";"4";"7";"7";"1";"7";"6";"6";"1";"2";"2";"1";"5";"2";"4";"7";"7";"1";"7";"7";"7";"6";"6";"2";"6";"6";"7";"7";"3";"7";"7";"7";"5";"SigDe";"PedIn";"VehDe";"PedDe";"no";"The intentions of people changing got overwhelming. I wish that was clearer. ";"I think people will be happier throughout the day having this additional time to get to other tasks and have more time to relax. ";"5";"6";"6";"2";"6";"7";"n/a"
"9";"1980-01-01 00:00:00";"9";"en";"2063188053";"5d3522b6eac3d50017df02cb";"132";"Y";"Y";"Y";"Y";"";"Y";"";"12";"1";"1";"1";"1";"4";"3";"4";"1";"4";"2";"1";"0";"neg1";"neg1";"0";"0";"1";"neg1";"neg1";"4";"4";"5";"3";"5";"4";"4";"5";"5";"5";"6";"4";"5";"6";"6";"6";"6";"5";"4";"4";"4";"5";"1";"4";"4";"5";"5";"5";"3";"5";"5";"6";"4";"5";"3";"3";"4";"5";"VehDe";"SigDe";"PedDe";"PedIn";"I hope to know the signals of turning and braking to have sense of safety in this vehicle.";"Singles of pedestrians are too many and not consistent. ";"It is helpful. It also needs to improve its consistency in detecting different objects.";"5";"3";"6";"8";"7";"8";""
"10";"1980-01-01 00:00:00";"9";"en";"2002141605";"6614a5298c82365421d9b0b9";"132";"Y";"Y";"Y";"Y";"";"Y";"";"11";"3";"3";"3";"3";"4";"5";"4";"1";"5";"1";"2";"2";"neg2";"2";"2";"neg2";"2";"neg2";"0";"5";"1";"5";"6";"7";"7";"6";"7";"7";"1";"7";"4";"6";"1";"1";"1";"6";"6";"5";"4";"7";"7";"1";"7";"4";"6";"7";"3";"1";"7";"7";"7";"7";"1";"7";"7";"7";"5";"PedIn";"PedDe";"VehDe";"SigDe";"i think the vehicle did well in the videos and cannot think of anything to improve. ";"i would have liked to see speed, turn signals, and mirrors in the videos to make better judgements about the vehicle. i think the visuals capturing other vehicles, pedestrians and signs did a good job.";"i think pedestrians knowing there are autonomous vehicles on the road will be more alert when crossing streets and other drivers will be more alert to vehicles on the road.";"6";"1";"7";"8";"8";"6";""
"11";"1980-01-01 00:00:00";"9";"en";"456689162";"664b8f8a582a0e4f95ecd51e";"one three two ";"Y";"Y";"Y";"Y";"";"Y";"";"14";"1neg";"1neg";"1";"0";"3";"4";"4";"2";"4";"2";"1";"0";"neg1";"0";"1";"0";"1";"0";"1";"3";"3";"5";"6";"6";"5";"5";"6";"6";"3";"5";"6";"5";"5";"5";"6";"6";"5";"5";"5";"6";"7";"1";"5";"5";"5";"5";"5";"2";"6";"6";"5";"5";"3";"4";"5";"6";"1";"PedIn";"PedDe";"VehDe";"SigDe";"I think that it would be nice to see the path that the car plans on taking displayed somehow. I also noticed that if people were crossing the street and the car had a green light it would go anyways. it clearly didnt hit anyone but would have been close if the people were walking a little faster. ";"I like that you could see the things that the car saw lighted up such as people, cars and signs. However it flashed alot when focusing on the people which Im sure some people would not care for. Not sure if there would be a way to get it to focus more so there would be less flashing. ";"Im not sure how it will change peoples behavior. Im not sure how comfortable I would be riding in one of these vehicles until they have been on the road for awhile. I think that people who drive taxis, ubers and things like that might end up losing their jobs if these vehicles become popular. ";"4";"6";"6";"7";"7";"7";"I had alot of technical issues with this last video and it froze many times and restarted two times, so that was frustrating.  I think that providing the path that the car was traveling and maybe showing the path that it thinks pedestrians plan on walking in such as ones crossing the street might make people feel safer in these vehicles. I do think that it drove pretty well compared to what I expected though. "
