id. Response ID;submitdate. Date submitted;lastpage. Last page;startlanguage. Start language;seed. Seed;ProlificID. Please enter your Prolific ID;age. How old are you?    (in years)  ;gender. What gender do you identify yourself with?;education. What is your highest educational level?;job. What is the best way to describe your professional status?;license. How long do you have a driver's license?    (in years);drivingfrequency. How often do you drive a car/motorcycle/scooter or similar?;distance. How many kilometers did you drive by car last year?;interest[SQ001]. Are you interested in autonomous driving? [I am interested in autonomous driving. ];interest[SQ002]. Are you interested in autonomous driving? [I think that autonomous driving will make my life easier.];interest[SQ003]. Are you interested in autonomous driving? [I think that autonomous driving will become reality in the next 10 years (until 2034).];assum[det].  [I believe current automated vehicles can perfectly detect all driving-relevant objects.];assum[pred].  [I believe current automated vehicles can perfectly predict where all driving-relevant objects will be in the near future.];assum[man].  [I believe current automated vehicles can perfectly plan and execute their own behavior.];audio. Please listen to the following audio snippet and type in what you heard.   Your browser does not support the audio element. ;"r203q0[SQ001]. Please position your head to fit within the square on the camera image (top left).&gt; If the square is green, click on 'Next.'(&gt; If the Next button doesn't work right away, click a few times on any spot on the screen when the square is green.)Ensure you are in an undisturbed and well-lit room while answering the following questionnaire.Maximize your browser window.    []";G02Q38[SQ001]. To calibrate the eye tracker, click on ALL red squares.  IMPORTANT: Move the mouse to the square, LOOK AT THE SQUARE SO THAT THE RED DOT IS NEAR THE SQUARE.Click on the square and a new square appears.The box below will be automatically checked if all was done...  Progress: 0/45       [DONE];G03Q39[SQ001].   Please first click and then look at the red dot in the middle of the screen for 10 seconds.  This is to ensure that the eye-tracker is correctly working... After that, the Next button will appear.     [Done];"general. You will see a video of a driving session in a highly automated vehicle.  The vehicle takes over lateral and longitudinal control (braking, accelerating, steering).  The vehicle attempts to (1) detect objects in the scene and (2) recognize the intent of pedestrians:   1. Object Detection:  Detected vehicles, pedestrians and traffic lights are marked in color. The marking is realized by coloring the respective object.The following color assignment applies: pedestrians and cyclists are marked in red, vehicles are marked in blue, and traffic lights as well as traffic signs are marked in yellow.                 2. Pedestrian Intention Recognition:  While driving, a symbol is displayed above detected pedestrians. Symbols above people whose intention has been safely detected are displayed in two colors:They are displayed in light blue if the intention is to stay on the sidewalk, or in dark blue if the intention is to cross the street.Symbols over people whose intention was not recognized with certainty are displayed in yellow.   While watching the video, you are supposed to imagine sitting in such an automated vehicle, follow the entire journey attentively, and then assess it.   Make sure your speakers are turned on.  Please click ""Yes"" if you understand.   You will have to start the video. Fullscreen will be enabled automatically. Scriptblockers have to be disabled.  You will not be able to go to the next page until after the video was shown completely.  ";"videoinfo. Feedback visualizations are displayed during this journey.  Please click ""Yes"" if you understand. ";DNC. As soon as Start Video is being pressed, the video will be played in fullscreen mode. DO NOT pause the video or leave fullscreen mode. Finish watching the video before doing anything else.    Start VideoRe-enter Fullscreen  ;correctDNC. Was the video displayed correctly?;spacer.    ;TLX1[TLXme]. How much mental demand was involved in receiving and processing information (e.g., thinking, deciding, calculating, remembering, looking, searching ...)? Was the task easy or challenging, simple or complex, does it require high accuracy or is it error tolerant?  [];perceivedSafety[SQ001]. How would you estimate your current emotional state?  [Anxious | Relaxed];perceivedSafety[SQ002]. How would you estimate your current emotional state?  [Agitated | Calm];perceivedSafety[SQ003]. How would you estimate your current emotional state?  [Unsafe | Safe];perceivedSafety[SQ004]. How would you estimate your current emotional state?  [Timid | Confident];Trust[SQ002]. Evaluate the following statements:  [I trust the highly automated vehicle.];Trust[SQ001]. Evaluate the following statements:  [I can rely on the highly automated vehicle.];Trust[SQ003]. Evaluate the following statements:  [The automated vehicle state was always clear to me.];Trust[SQ004]. Evaluate the following statements:  [The automated vehicle reacts unpredictably.];Trust[SQ005]. Evaluate the following statements:  [I was able to understand why things happened.];Trust[SQ006]. Evaluate the following statements:  [it's difficult to identify what the automated vehicle will do next.];distraction5[SQ001]. Please select the fifth option. [];vanDerAccept[useful]. Please rate the following regarding your judgment of the system. [Useful | Useless ];vanDerAccept[pleas]. Please rate the following regarding your judgment of the system. [Pleasant | Unpleasant];vanDerAccept[bad]. Please rate the following regarding your judgment of the system. [Bad | Good];vanDerAccept[nice]. Please rate the following regarding your judgment of the system. [Nice | Annoying];vanDerAccept[effe]. Please rate the following regarding your judgment of the system. [Effective | Superfluous];vanDerAccept[irri]. Please rate the following regarding your judgment of the system. [Irritating | Likeable];vanDerAccept[assis]. Please rate the following regarding your judgment of the system. [Assisting | Worthless];vanDerAccept[undes]. Please rate the following regarding your judgment of the system. [Undesirable | Desirable];vanDerAccept[rais]. Please rate the following regarding your judgment of the system. [Raising Alertness | Sleep-Inducing];CSUS[freq]. Please answer the following questions [I think that I would like to use these visualizations frequently.];CSUS[complex]. Please answer the following questions [I found the visualizations unnecessarily complex.];perception[p1b]. Please indicate your agreement with following statements. [The automated vehicle recognizes all pedestrians in every situation perfectly.];perception[p2b]. Please indicate your agreement with following statements. [The automated vehicle recognizes all vehicles in every situation perfectly.];perception[p3b]. Please indicate your agreement with following statements. [The automated vehicle recognizes all signposts in every situation perfectly.];perception[pintention]. Please indicate your agreement with following statements. [The automated vehicle predicts all pedestrian intentions in every scene perfectly.];perception[p4b]. Please indicate your agreement with following statements. [The automated vehicle has perfect longitudinal guidance (braking, acceleration, ...).];perception[p5b]. Please indicate your agreement with following statements. [The automated vehicle has perfect lateral guidance (keeping track, staying on the road).];perception[unsafeJudgement]. Please indicate your agreement with following statements. [The automated vehicle made an unsafe judgement in this situation.];perception[reactapprop]. Please indicate your agreement with following statements. [The automated vehicle reacted appropriately to the environment.];perception[performbetter]. Please indicate your agreement with following statements. [I would have performed better than the automated vehicle in this situation.];perception[willdo]. Please indicate your agreement with following statements. [It was always clear what the automated vehicle will do next.];TUI[SQ001]. Please rate the following statements. [In the virtual situation I could forget my real problems.];TUI[SQ002]. Please rate the following statements. [When I use the virtual simulation, I feel like I'm in another world.];TUI[SQ003]. Please rate the following statements. [During the virtual simulation I completely forgot the world around me.];TUI[SQ004]. Please rate the following statements. [Through the virtual simulation I had the feeling of really experiencing the situation.];SART11[SART1]. Instability of Situation   How changeable is the situation? Is the situation highly unstable and likely to change suddenly (High) or is it very stable and straightforward (Low)?  [];SART21[SART2]. Complexity of Situation   How complicated is the situation? Is it complex with many interrelated components (High) or is it simple and straightforward (Low)?  [];SART31[SART3]. Variability of Situation   How many variables are changing within the situation? Are there a large number of factors varying (High) or are there very few variables changing (Low)?  [];SART41[SART4]. Arousal   How aroused are you in the situation? Are you alert and ready for activity (High) or do you have a low degree of alertness (Low)?  [];SART51[SART5]. Concentration of Attention   How much are you concentrating on the situation? Are you concentrating on many aspects of the situation (High) or focussed on only one (Low)?  [];SART61[SART6]. Division of Attention   How much is your attention divided in the situation? Are you concentrating on many aspects of the situation (High) or focussed on only one (Low)?  [];SART71[SART7]. Spare Mental Capacity   How much mental capacity do you have to spare in the situation? Do you have sufficient to attend to many variables (High) or nothing to spare at all (Low)?  [];distractor1[SART5]. Examination of Attention  Please select the first option.  [];SART81[SART8]. Information Quantity   How much information have you gained about the situation? Have you received and understood a great deal of knowledge (High) or very little (Low)?  [];SART91[SART9]. Information Quality  How good/accurate/of value was the information provided? Was it accessible, usable, and accurate (High) or difficult to obtain and inaccurate (Low)?  [];SART101[SART10]. Familiarity with Situation   How familiar are you with the situation? Do you have a great deal of relevant experience (High) or is it a new situation (Low)?  [];drivingstyle[SART1]. Driving Style  How would you rate the driving style of the automated vehicle?  [];ownq[expected]. Please answer the questions. [The automated vehicle drove as I expected at all times.];ownq[clearReason]. Please answer the questions. [The reasons for the automated vehicle's behavior were clear to me at all times.];ownq[reason]. Please answer the questions. [I think the visualizations provided were reasonable.];ownq[necc]. Please answer the questions. [I think the visualizations provided were necessary.];ownq[clutter]. Please answer the questions. [I think there were too many visualizations provided.];"ownq[moreper]. Please answer the questions. [I would have liked more information regarding the automated vehicle's perception (what did the automated vehicle ""see"").]";ownq[morepre]. Please answer the questions. [I would have liked more information regarding the automated vehicle's predictions (how does the automated vehicle think the future will be).];ownq[moreego]. Please answer the questions. [I would have liked more information regarding the automated vehicle's future path (where will the automated vehicle drive to).];feedback. Here, you can give open feedback regarding concerns, improvement proposals, and other thoughts.
1;01.01.1980 00:00;11;en;;;;;;;;;;;;;;;;;;Y;Y;Y;Y;;Y;;8;1neg;1neg;1neg;1neg;2;2;3;3;3;3;4;0;0;0;0;0;0;0;0;0;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;
4;01.01.1980 00:00;11;en;1510481666;66436191125fd343899c47b6;41;A1;A3;A3;25;A1;A4;5;5;5;8;8;7;132;Y;Y;Y;Y;Y;;Y;;20;3;3;3;3;4;4;4;2;4;4;5;2;2;neg2;2;2;neg2;2;neg2;2;4;2;6;6;6;5;5;5;5;6;7;5;1;4;4;7;7;7;7;1;7;7;7;1;3;3;4;2;6;6;6;6;2;7;7;7;None 
10;01.01.1980 00:00;11;en;1805176641;66952d5507cd937cf7c2a35d;33;A1;A4;A4;16;A3;A2;4;4;5;2;2;3;132;Y;Y;Y;Y;Y;;Y;;12;2;2;2;2;4;3;3;2;4;2;5;1;1;neg1;1;1;neg2;2;neg1;neg1;4;2;5;6;5;6;6;5;3;6;4;6;6;6;5;4;6;5;4;6;3;3;3;1;4;4;4;3;6;5;5;5;4;4;4;5;
14;01.01.1980 00:00;11;en;155676929;565f2425e14ebc000cc5fab7;32;A1;A3;A4;12;A3;A3;3;3;2;1;1;2;132;Y;Y;Y;Y;Y;;Y;;3;1neg;1neg;2;1;2;2;2;1;4;1;5;0;1;0;1;1;2;0;0;0;1;2;1;7;3;1;6;7;1;7;2;5;5;6;5;5;5;6;7;3;2;3;5;1;5;3;4;3;6;6;2;2;6;2;5;5;The pedestrian awareness system was inconsistent and inaccurate. It frequently assigned pedestrian status to things that weren't pedestrians. It frequently predicted the actions of pedestrians inaccurately. It frequently labeled pedestrians as having one status (for example, being on the sidewalk) when they were clearly of another status (for example, in the street).
17;01.01.1980 00:00;11;en;155408223;61464fe94ab78bd0f17d0dc0;32;A1;A5;A6;15;A1;A3;5;5;5;7;6;6;132;Y;Y;Y;Y;Y;;Y;;18;1;2;3;3;4;4;4;1;5;1;5;2;2;neg2;2;2;neg2;2;neg2;0;4;2;7;7;7;6;7;7;1;7;2;7;7;7;7;7;6;7;7;4;4;6;6;1;7;7;7;1;7;7;7;7;1;1;6;6;I was able to see all pedestrians, vehicles and signs colorized like they were supposed to be. I did not notice any defects in the car's self driving actions, and cannot think of any way to do it differently. 
23;01.01.1980 00:00;11;en;329938103;64559feafbddb5f11010b973;53;A2;A3;A6;37;A3;A2;4;4;5;6;6;6;132;Y;Y;Y;Y;Y;;Y;;13;2;2;3;3;4;4;4;1;5;1;5;2;2;neg2;2;2;neg2;2;neg2;2;5;1;7;7;7;7;7;7;7;7;1;7;7;7;7;7;3;1;3;6;7;7;4;1;7;7;7;1;7;7;7;7;1;3;3;3;This exercise was enjoyable. Thank you for allowing med to participate. Have a wonderful day.
24;01.01.1980 00:00;11;en;623816552;616ca5967d36f0000bd47b78;37;A1;A4;A3;3;A1;A3;4;4;4;5;5;5;132;Y;Y;Y;Y;Y;;Y;;9;1neg;1neg;1neg;1neg;3;3;4;2;4;1;5;0;0;1;0;0;1;0;1;0;3;2;5;5;3;3;5;5;2;6;4;5;4;4;4;4;4;4;4;4;5;4;5;1;5;5;5;2;6;6;6;6;4;4;4;4;It would be helpful to have a timer on the video so I know how much more time I have left for watching the video
25;01.01.1980 00:00;11;en;250234629;590d0c9c1211f9000142af16;40;A1;A4;A3;24;A1;A2;4;4;4;6;4;6;132;Y;Y;Y;Y;Y;;Y;;5;2;2;2;1;3;3;4;1;4;1;5;2;2;neg1;neg1;neg1;neg1;1;neg1;1;4;1;6;6;4;6;6;6;6;7;6;6;5;2;2;5;3;2;5;5;6;3;6;6;5;5;2;2;5;5;6;6;2;5;5;6;Maybe changing colors for upcoming pedestrians or anticipating them. Blue was used for the cars and the anticipating pedestrians.
30;01.01.1980 00:00;11;en;1349820504;65e33239b5fa3ca93950aa67;36;A1;A4;A3;20;A1;A1;4;4;4;3;6;5;132;Y;Y;Y;Y;Y;;Y;;14;3;3;3;3;4;4;4;2;4;2;5;2;2;neg2;2;2;neg2;2;neg2;1;3;1;6;7;6;7;7;6;2;6;7;6;7;7;7;7;2;2;4;4;3;6;5;1;6;6;6;1;6;6;6;6;3;5;7;7;All was well thank you!
31;01.01.1980 00:00;11;en;633702979;665e299ae07116340f552257;31;A1;A4;A4;14;A3;A3;5;5;5;2;2;2;132;Y;Y;Y;Y;Y;;Y;;11;1neg;0;2neg;1neg;3;2;3;1;5;3;5;2;1;neg1;0;1;0;1;1;0;4;3;2;6;6;1;5;6;2;6;5;6;6;6;7;6;4;2;6;1;6;3;5;1;5;5;6;3;6;5;7;6;5;5;5;6;
37;01.01.1980 00:00;11;en;270516497;5bf311373a5bf00001401f64;38;A2;A3;A4;22;A3;A2;3;4;4;6;6;6;132;Y;Y;Y;Y;Y;;Y;;11;2;2;2;2;3;3;5;4;4;2;5;1;0;0;0;0;0;1;0;0;3;2;3;5;5;3;5;6;2;6;3;6;4;6;6;6;6;5;5;4;3;3;3;1;2;2;2;3;6;6;5;6;2;5;5;5;I've no feedback or concerns.
38;01.01.1980 00:00;11;en;158359046;5d3522b6eac3d50017df02cb;41;A2;A4;A3;20;A1;A5;5;5;5;4;3;4;132;Y;Y;Y;Y;Y;;Y;;16;1neg;0;0;0;3;3;2;2;4;3;5;0;neg1;1;neg1;neg1;1;0;0;0;2;5;2;5;5;2;6;3;2;4;5;2;6;6;7;6;6;6;5;5;6;6;6;1;4;3;3;4;3;4;4;3;6;3;3;5;
39;01.01.1980 00:00;11;en;1323663293;63d44812197c6058aeb9ce69;30;A1;A4;A6;14;A1;A2;2;2;4;2;1;1;132;Y;Y;Y;Y;Y;;Y;;5;1;1;1neg;0;2;2;3;1;4;1;5;1;0;neg1;neg1;1;1;1;0;2;1;5;1;6;6;1;5;5;1;6;4;6;3;6;6;6;2;2;5;5;6;5;4;1;6;5;2;2;6;6;2;2;7;6;7;7;
40;01.01.1980 00:00;11;en;1775331590;664b8f8a582a0e4f95ecd51e;33;A1;A4;A6;16;A1;A2;2;2;3;2;2;2;one three two ;Y;Y;Y;Y;Y;;Y;;15;1neg;1neg;0;0;3;3;3;2;4;2;5;1;neg1;0;0;0;1;neg1;0;0;1;3;5;5;5;4;5;5;3;5;5;4;4;5;5;5;6;6;6;6;6;5;6;1;4;4;4;3;5;5;4;5;5;5;6;6;
41;01.01.1980 00:00;11;en;1258383108;667cb31fb40cdd26ad0dde4f;37;A1;A3;A3;20;A3;A1;3;3;3;4;3;4;132;Y;Y;Y;Y;Y;;Y;;8;2neg;2;1neg;1;1;1;3;2;4;1;5;neg1;0;0;1;0;neg1;1;neg1;neg2;1;4;2;5;7;2;6;7;1;6;7;5;1;2;1;3;5;5;6;1;7;6;4;1;4;5;6;2;6;5;6;6;4;7;7;7;My biggest concerns would be how is it predicting other road dangers like a tree falls suddenly into the road. Would it detect the tree on it's way down and start to stop like we would if driving manually or would the car stop once it's sees that it is an obstruction on the road. I would want a car that could detect things quicker than me and in this experience it didn't seem to recognize all the other things outside of the road like lamp posts, buildings, etc.  
42;01.01.1980 00:00;11;en;531047766;5ff39ec71d6cb49c6c906727;34;A2;A4;A3;16;A1;A2;4;4;4;5;5;5;132;Y;Y;Y;Y;Y;;Y;;14;1neg;1neg;0;0;3;3;4;2;3;3;5;1;0;0;1;0;neg1;0;0;1;3;3;3;5;5;3;5;6;4;5;4;4;6;5;6;7;3;4;6;4;6;6;3;1;5;4;4;3;6;6;5;5;3;4;4;5;
43;01.01.1980 00:00;11;en;90274847;57b3d9bda2ec4f0001ec2b85;23;A1;A4;A3;6;A5;A5;3;3;5;1;2;2;one three two;Y;Y;Y;Y;Y;;Y;;4;2;2;3;1;3;3;4;2;5;1;5;1;1;neg1;1;2;neg1;2;neg2;neg1;2;1;6;6;5;3;5;6;1;7;2;4;1;1;1;1;3;6;6;2;3;5;5;1;6;7;7;1;7;7;7;7;1;3;6;7;
